    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
    51     +5.100  +0.752349721  -0.130422889  +1288.658369    +0.6929408    -0.0195212    +0.0055658    +1
    52     +5.200  +0.752350086  -0.130422473  +1288.672671    +0.6927144    -0.0189618    +0.0054082    +1
    53     +5.300  +0.752350450  -0.130422056  +1288.688208    +0.6927958    -0.0186793    +0.0051689    +1
    54     +5.400  +0.752350814  -0.130421640  +1288.704705    +0.6932365    -0.0188952    +0.0050194    +1
    55     +5.500  +0.752351179  -0.130421223  +1288.721419    +0.6939468    -0.0195837    +0.0050215    +1
    56     +5.600  +0.752351543  -0.130420807  +1288.737622    +0.6947132    -0.0204490    +0.0051699    +1
    57     +5.700  +0.752351907  -0.130420390  +1288.752873    +0.6953229    -0.0210150    +0.0053943    +1
    58     +5.800  +0.752352272  -0.130419973  +1288.766988    +0.6956602    -0.0210370    +0.0056157    +1
    59     +5.900  +0.752352636  -0.130419557  +1288.780690    +0.6956348    -0.0207655    +0.0057754    +1
    60     +6.000  +0.752353001  -0.130419140  +1288.794821    +0.6952591    -0.0206310    +0.0057465    +1
    61     +6.100  +0.752353365  -0.130418723  +1288.809482    +0.6946501    -0.0204576    +0.0054673    +1
    62     +6.200  +0.752353729  -0.130418306  +1288.824364    +0.6940505    -0.0198806    +0.0049423    +1
    63     +6.300  +0.752354094  -0.130417889  +1288.839437    +0.6936324    -0.0191495    +0.0043513    +1
    64     +6.400  +0.752354458  -0.130417472  +1288.854976    +0.6933572    -0.0187204    +0.0038600    +1
    65     +6.500  +0.752354823  -0.130417055  +1288.870647    +0.6932049    -0.0186014    +0.0035160    +1
    66     +6.600  +0.752355187  -0.130416638  +1288.885895    +0.6931943    -0.0187674    +0.0033070    +1
    67     +6.700  +0.752355551  -0.130416221  +1288.900508    +0.6932819    -0.0194391    +0.0031970    +1
    68     +6.800  +0.752355916  -0.130415804  +1288.914010    +0.6934179    -0.0204955    +0.0031609    +1
    69     +6.900  +0.752356280  -0.130415387  +1288.926055    +0.6935362    -0.0213861    +0.0032476    +1
    70     +7.000  +0.752356645  -0.130414970  +1288.936745    +0.6935310    -0.0217055    +0.0034371    +1
    71     +7.100  +0.752357009  -0.130414553  +1288.946388    +0.6933883    -0.0211092    +0.0036046    +1
    72     +7.200  +0.752357373  -0.130414136  +1288.955911    +0.6932331    -0.0199347    +0.0036882    +1
    73     +7.300  +0.752357738  -0.130413719  +1288.966616    +0.6931123    -0.0190341    +0.0037548    +1
    74     +7.400  +0.752358102  -0.130413303  +1288.979401    +0.6930453    -0.0190796    +0.0038266    +1
    75     +7.500  +0.752358466  -0.130412886  +1288.993832    +0.6931384    -0.0197197    +0.0038389    +1
    76     +7.600  +0.752358830  -0.130412469  +1289.008777    +0.6934588    -0.0200472    +0.0038673    +1
    77     +7.700  +0.752359194  -0.130412053  +1289.023972    +0.6940055    -0.0202135    +0.0039729    +1
    78     +7.800  +0.752359559  -0.130411636  +1289.039440    +0.6946607    -0.0204822    +0.0042027    +1
    79     +7.900  +0.752359923  -0.130411220  +1289.054860    +0.6952002    -0.0204216    +0.0045332    +1
