    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
  1485   +148.500  +0.752790318  -0.130433480  +1289.555922    -2.2498605    -0.0115510    -0.1760247    +1
  1486   +148.600  +0.752790018  -0.130433986  +1289.565952    -2.2563127    -0.0118372    -0.1761393    +1
  1487   +148.700  +0.752789717  -0.130434489  +1289.576235    -2.2628516    -0.0119983    -0.1763004    +1
  1488   +148.800  +0.752789413  -0.130434989  +1289.586926    -2.2693222    -0.0119762    -0.1764891    +1
  1489   +148.900  +0.752789107  -0.130435487  +1289.598524    -2.2755812    -0.0120212    -0.1766202    +1
  1490   +149.000  +0.752788798  -0.130435983  +1289.611383    -2.2815465    -0.0124159    -0.1766276    +1
  1491   +149.100  +0.752788488  -0.130436476  +1289.624840    -2.2872661    -0.0127866    -0.1765677    +1
  1492   +149.200  +0.752788175  -0.130436967  +1289.638168    -2.2929126    -0.0126533    -0.1764346    +1
  1493   +149.300  +0.752787860  -0.130437455  +1289.651633    -2.2986690    -0.0124162    -0.1762049    +1
  1494   +149.400  +0.752787543  -0.130437941  +1289.665943    -2.3044891    -0.0127034    -0.1759971    +1
  1495   +149.500  +0.752787224  -0.130438424  +1289.680979    -2.3102531    -0.0130892    -0.1759620    +1
  1496   +149.600  +0.752786903  -0.130438904  +1289.696387    -2.3159420    -0.0129675    -0.1760220    +1
  1497   +149.700  +0.752786580  -0.130439382  +1289.712062    -2.3214200    -0.0126985    -0.1760795    +1
  1498   +149.800  +0.752786255  -0.130439858  +1289.727895    -2.3265807    -0.0128399    -0.1760283    +1
  1499   +149.900  +0.752785928  -0.130440330  +1289.743672    -2.3315047    -0.0136544    -0.1758472    +1
  1500   +150.000  +0.752785599  -0.130440800  +1289.759144    -2.3364173    -0.0149344    -0.1755583    +1
  1501   +150.100  +0.752785267  -0.130441267  +1289.773987    -2.3415810    -0.0162620    -0.1752572    +1
  1502   +150.200  +0.752784934  -0.130441732  +1289.787612    -2.3470340    -0.0172757    -0.1751372    +1
  1503   +150.300  +0.752784599  -0.130442194  +1289.799664    -2.3527545    -0.0177757    -0.1751428    +1
  1504   +150.400  +0.752784262  -0.130442654  +1289.810289    -2.3586584    -0.0180475    -0.1752137    +1
  1505   +150.500  +0.752783922  -0.130443111  +1289.820057    -2.3645286    -0.0186087    -0.1753254    +1
  1506   +150.600  +0.752783581  -0.130443565  +1289.829577    -2.3703399    -0.0197326    -0.1754035    +1
  1507   +150.700  +0.752783238  -0.130444017  +1289.838710    -2.3762857    -0.0208898    -0.1754424    +1
  1508   +150.800  +0.752782893  -0.130444466  +1289.846690    -2.3824828    -0.0211748    -0.1755081    +1
  1509   +150.900  +0.752782546  -0.130444913  +1289.853494    -2.3887337    -0.0205786    -0.1756131    +1
  1510   +151.000  +0.752782197  -0.130445356  +1289.860005    -2.3946247    -0.0200450    -0.1758020    +1
  1511   +151.100  +0.752781846  -0.130445797  +1289.866786    -2.4000476    -0.0199957    -0.1759524    +1
  1512   +151.200  +0.752781493  -0.130446235  +1289.873580    -2.4052436    -0.0199618    -0.1760161    +1
  1513   +151.300  +0.752781138  -0.130446670  +1289.880406    -2.4103877    -0.0197872    -0.1760123    +1
  1514   +151.400  +0.752780782  -0.130447103  +1289.887804    -2.4156619    -0.0195808    -0.1758495    +1
  1515   +151.500  +0.752780423  -0.130447532  +1289.896128    -2.4213636    -0.0187338    -0.1755956    +1
  1516   +151.600  +0.752780063  -0.130447959  +1289.905998    -2.4276322    -0.0171169    -0.1753988    +1
  1517   +151.700  +0.752779701  -0.130448382  +1289.918572    -2.4343491    -0.0155553    -0.1753833    +1
  1518   +151.800  +0.752779337  -0.130448803  +1289.934748    -2.4413347    -0.0147313    -0.1755951    +1
  1519   +151.900  +0.752778971  -0.130449221  +1289.954284    -2.4483686    -0.0144211    -0.1760629    +1
  1520   +152.000  +0.752778604  -0.130449635  +1289.976305    -2.4550929    -0.0142620    -0.1766129    +1
  1521   +152.100  +0.752778235  -0.130450046  +1290.000231    -2.4614200    -0.0143631    -0.1720220    +1
  1522   +152.200  +0.752777864  -0.130450454  +1290.025738    -2.4685020    -0.0148573    -0.1574504    +1
  1523   +152.300  +0.752777491  -0.130450860  +1290.052210    -2.4774990    -0.0155421    -0.1353651    +1
  1524   +152.400  +0.752777118  -0.130451263  +1290.078939    -2.4883761    -0.0161941    -0.1097473    +1
  1525   +152.500  +0.752776743  -0.130451664  +1290.105562    -2.5000739    -0.0164717    -0.0834094    +1
  1526   +152.600  +0.752776367  -0.130452063  +1290.132296    -2.5109854    -0.0164460    -0.0578599    +1
  1527   +152.700  +0.752775990  -0.130452460  +1290.159373    -2.5195248    -0.0163035    -0.0337479    +1
  1528   +152.800  +0.752775613  -0.130452856  +1290.186490    -2.5246954    -0.0157733    -0.0113011    +1
  1529   +152.900  +0.752775235  -0.130453251  +1290.213395    -2.5262265    -0.0148146    +0.0091682    +1
  1530   +153.000  +0.752774857  -0.130453646  +1290.240054    -2.5243225    -0.0139304    +0.0272065    +1
  1531   +153.100  +0.752774480  -0.130454041  +1290.266599    -2.5196117    -0.0136393    +0.0424454    +1
  1532   +153.200  +0.752774102  -0.130454435  +1290.293051    -2.5130644    -0.0136288    +0.0547756    +1
  1533   +153.300  +0.752773725  -0.130454830  +1290.319361    -2.5056995    -0.0133784    +0.0643592    +1
  1534   +153.400  +0.752773348  -0.130455226  +1290.345574    -2.4985580    -0.0130636    +0.0714199    +1
  1535   +153.500  +0.752772972  -0.130455623  +1290.371594    -2.4924403    -0.0133698    +0.0762021    +1
  1536   +153.600  +0.752772597  -0.130456021  +1290.397260    -2.4876583    -0.0143573    +0.0791146    +1
  1537   +153.700  +0.752772222  -0.130456420  +1290.422285    -2.4842547    -0.0157336    +0.0807201    +1
  1538   +153.800  +0.752771849  -0.130456820  +1290.446177    -2.4819483    -0.0167902    +0.0812636    +1
  1539   +153.900  +0.752771476  -0.130457222  +1290.468528    -2.4803129    -0.0168305    +0.0809038    +1
  1540   +154.000  +0.752771104  -0.130457624  +1290.489426    -2.4790681    -0.0163510    +0.0797480    +1
  1541   +154.100  +0.752770733  -0.130458028  +1290.509626    -2.4779216    -0.0164708    +0.0777773    +1
  1542   +154.200  +0.752770362  -0.130458433  +1290.529725    -2.4764405    -0.0175951    +0.0748643    +1
  1543   +154.300  +0.752769992  -0.130458840  +1290.549191    -2.4742234    -0.0187826    +0.0710279    +1
  1544   +154.400  +0.752769623  -0.130459247  +1290.567165    -2.4712074    -0.0191223    +0.0664335    +1
  1545   +154.500  +0.752769254  -0.130459655  +1290.583897    -2.4677083    -0.0187382    +0.0612244    +1
  1546   +154.600  +0.752768885  -0.130460065  +1290.600244    -2.4641241    -0.0184755    +0.0554889    +1
  1547   +154.700  +0.752768517  -0.130460475  +1290.616725    -2.4608868    -0.0188237    +0.0494972    +1
  1548   +154.800  +0.752768150  -0.130460886  +1290.633058    -2.4584101    -0.0193258    +0.0435400    +1
  1549   +154.900  +0.752767782  -0.130461298  +1290.648891    -2.4568783    -0.0194621    +0.0378027    +1
  1550   +155.000  +0.752767416  -0.130461710  +1290.664559    -2.4562329    -0.0194977    +0.0322793    +1
  1551   +155.100  +0.752767049  -0.130462124  +1290.680004    -2.4563467    -0.0196236    +0.0271709    +1
  1552   +155.200  +0.752766683  -0.130462537  +1290.695090    -2.4569752    -0.0198478    +0.0225654    +1
  1553   +155.300  +0.752766317  -0.130462951  +1290.709985    -2.4577095    -0.0201229    +0.0184790    +1
  1554   +155.400  +0.752765951  -0.130463366  +1290.724951    -2.4582131    -0.0204643    +0.0151428    +1
  1555   +155.500  +0.752765585  -0.130463780  +1290.740058    -2.4583954    -0.0205518    +0.0124148    +1
  1556   +155.600  +0.752765219  -0.130464195  +1290.755084    -2.4582899    -0.0202501    +0.0099889    +1
  1557   +155.700  +0.752764853  -0.130464610  +1290.770019    -2.4578721    -0.0197407    +0.0075898    +1
  1558   +155.800  +0.752764487  -0.130465024  +1290.785175    -2.4571590    -0.0193637    +0.0051357    +1
  1559   +155.900  +0.752764121  -0.130465439  +1290.800726    -2.4563786    -0.0193045    +0.0027553    +1
  1560   +156.000  +0.752763755  -0.130465854  +1290.816979    -2.4557681    -0.0198342    +0.0004673    +1
  1561   +156.100  +0.752763388  -0.130466269  +1290.834227    -2.4554643    -0.0210407    -0.0016091    +1
  1562   +156.200  +0.752763022  -0.130466684  +1290.852011    -2.4555420    -0.0222096    -0.0033771    +1
  1563   +156.300  +0.752762656  -0.130467099  +1290.869600    -2.4559611    -0.0227148    -0.0048425    +1
  1564   +156.400  +0.752762289  -0.130467514  +1290.886864    -2.4566512    -0.0231366    -0.0059383    +1
  1565   +156.500  +0.752761922  -0.130467929  +1290.903782    -2.4575653    -0.0241529    -0.0066853    +1
  1566   +156.600  +0.752761555  -0.130468344  +1290.919661    -2.4585927    -0.0254226    -0.0071916    +1
  1567   +156.700  +0.752761188  -0.130468759  +1290.933884    -2.4595890    -0.0264609    -0.0074941    +1
  1568   +156.800  +0.752760820  -0.130469174  +1290.946449    -2.4605367    -0.0270196    -0.0074991    +1
  1569   +156.900  +0.752760452  -0.130469589  +1290.957666    -2.4614453    -0.0271194    -0.0072519    +1
  1570   +157.000  +0.752760084  -0.130470003  +1290.967775    -2.4621992    -0.0268619    -0.0068153    +1
  1571   +157.100  +0.752759716  -0.130470418  +1290.977252    -2.4627609    -0.0263311    -0.0061478    +1
  1572   +157.200  +0.752759347  -0.130470833  +1290.986727    -2.4631609    -0.0258169    -0.0054677    +1
  1573   +157.300  +0.752758978  -0.130471247  +1290.996438    -2.4633681    -0.0252760    -0.0048659    +1
  1574   +157.400  +0.752758609  -0.130471662  +1291.006640    -2.4634426    -0.0248976    -0.0042901    +1
  1575   +157.500  +0.752758239  -0.130472076  +1291.017367    -2.4635168    -0.0245550    -0.0037719    +1
  1576   +157.600  +0.752757869  -0.130472490  +1291.028415    -2.4637061    -0.0240889    -0.0032665    +1
  1577   +157.700  +0.752757500  -0.130472905  +1291.039963    -2.4640907    -0.0238684    -0.0026410    +1
  1578   +157.800  +0.752757130  -0.130473319  +1291.051954    -2.4646545    -0.0239006    -0.0017887    +1
  1579   +157.900  +0.752756760  -0.130473733  +1291.063832    -2.4652926    -0.0236653    -0.0007804    +1
  1580   +158.000  +0.752756389  -0.130474147  +1291.075578    -2.4658208    -0.0226809    +0.0002987    +1
  1581   +158.100  +0.752756019  -0.130474561  +1291.087941    -2.4660329    -0.0211520    +0.0012836    +1
  1582   +158.200  +0.752755649  -0.130474975  +1291.101750    -2.4659086    -0.0200068    +0.0020905    +1
  1583   +158.300  +0.752755278  -0.130475389  +1291.117470    -2.4655184    -0.0198833    +0.0026675    +1
  1584   +158.400  +0.752754908  -0.130475803  +1291.134948    -2.4649414    -0.0208252    +0.0029810    +1
  1585   +158.500  +0.752754537  -0.130476217  +1291.153300    -2.4643405    -0.0219900    +0.0031195    +1
  1586   +158.600  +0.752754167  -0.130476630  +1291.171286    -2.4638955    -0.0226227    +0.0031761    +1
  1587   +158.700  +0.752753796  -0.130477044  +1291.188238    -2.4637813    -0.0229386    +0.0033166    +1
  1588   +158.800  +0.752753426  -0.130477458  +1291.204377    -2.4639745    -0.0235594    +0.0035139    +1
  1589   +158.900  +0.752753055  -0.130477871  +1291.219566    -2.4641710    -0.0241216    +0.0036549    +1
  1590   +159.000  +0.752752685  -0.130478285  +1291.233401    -2.4642096    -0.0239885    +0.0038375    +1
  1591   +159.100  +0.752752314  -0.130478698  +1291.246221    -2.4642109    -0.0231154    +0.0041053    +1
  1592   +159.200  +0.752751943  -0.130479112  +1291.258842    -2.4642984    -0.0220867    +0.0044273    +1
  1593   +159.300  +0.752751573  -0.130479525  +1291.271870    -2.4644663    -0.0213993    +0.0048552    +1
  1594   +159.400  +0.752751202  -0.130479939  +1291.285752    -2.4646352    -0.0210003    +0.0054298    +1
  1595   +159.500  +0.752750832  -0.130480352  +1291.300507    -2.4647129    -0.0204985    +0.0061801    +1
  1596   +159.600  +0.752750461  -0.130480765  +1291.316184    -2.4646163    -0.0196626    +0.0069883    +1
  1597   +159.700  +0.752750091  -0.130481178  +1291.333694    -2.4643132    -0.0188853    +0.0075817    +1
  1598   +159.800  +0.752749720  -0.130481591  +1291.353370    -2.4638146    -0.0183553    +0.0076732    +1
  1599   +159.900  +0.752749350  -0.130482004  +1291.374630    -2.4631987    -0.0179794    +0.0071734    +1
  1600   +160.000  +0.752748980  -0.130482417  +1291.397115    -2.4626084    -0.0178470    +0.0061819    +1
  1601   +160.100  +0.752748610  -0.130482830  +1291.420581    -2.4621207    -0.0180324    +0.0049623    +1
  1602   +160.200  +0.752748240  -0.130483243  +1291.444758    -2.4618075    -0.0183123    +0.0037549    +1
  1603   +160.300  +0.752747870  -0.130483655  +1291.469260    -2.4617882    -0.0185659    +0.0027427    +1
  1604   +160.400  +0.752747500  -0.130484068  +1291.493813    -2.4621076    -0.0190645    +0.0019363    +1
  1605   +160.500  +0.752747131  -0.130484480  +1291.518121    -2.4627255    -0.0197299    +0.0012275    +1
  1606   +160.600  +0.752746761  -0.130484893  +1291.541296    -2.4635169    -0.0198498    +0.0006787    +1
  1607   +160.700  +0.752746391  -0.130485305  +1291.562893    -2.4643620    -0.0190995    +0.0004508    +1
  1608   +160.800  +0.752746022  -0.130485717  +1291.583606    -2.4652041    -0.0181048    +0.0007034    +1
  1609   +160.900  +0.752745652  -0.130486129  +1291.604558    -2.4659043    -0.0175554    +0.0013426    +1
  1610   +161.000  +0.752745283  -0.130486540  +1291.626087    -2.4664084    -0.0172348    +0.0023132    +1
  1611   +161.100  +0.752744914  -0.130486952  +1291.648024    -2.4667398    -0.0166466    +0.0034666    +1
  1612   +161.200  +0.752744544  -0.130487363  +1291.670629    -2.4667942    -0.0163590    +0.0043661    +1
  1613   +161.300  +0.752744175  -0.130487774  +1291.694174    -2.4665121    -0.0170110    +0.0048228    +1
  1614   +161.400  +0.752743806  -0.130488185  +1291.717673    -2.4659231    -0.0177748    +0.0050238    +1
  1615   +161.500  +0.752743436  -0.130488596  +1291.739440    -2.4649687    -0.0172514    +0.0049575    +1
  1616   +161.600  +0.752743067  -0.130489006  +1291.759739    -2.4636675    -0.0158572    +0.0046297    +1
  1617   +161.700  +0.752742698  -0.130489417  +1291.780026    -2.4622021    -0.0150296    +0.0041458    +1
  1618   +161.800  +0.752742329  -0.130489827  +1291.800874    -2.4608774    -0.0155579    +0.0035774    +1
  1619   +161.900  +0.752741960  -0.130490238  +1291.821564    -2.4599651    -0.0167756    +0.0027637    +1
  1620   +162.000  +0.752741591  -0.130490648  +1291.840810    -2.4595275    -0.0175408    +0.0015962    +1
  1621   +162.100  +0.752741222  -0.130491058  +1291.858145    -2.4595812    -0.0176659    +0.0003725    +1
  1622   +162.200  +0.752740853  -0.130491469  +1291.873794    -2.4602361    -0.0178269    -0.0004644    +1
  1623   +162.300  +0.752740484  -0.130491879  +1291.887836    -2.4614125    -0.0185811    -0.0008915    +1
  1624   +162.400  +0.752740115  -0.130492289  +1291.900183    -2.4627902    -0.0199242    -0.0011179    +1
  1625   +162.500  +0.752739746  -0.130492699  +1291.910399    -2.4640168    -0.0210268    -0.0011902    +1
  1626   +162.600  +0.752739377  -0.130493109  +1291.918008    -2.4648919    -0.0212225    -0.0010606    +1
  1627   +162.700  +0.752739008  -0.130493519  +1291.922856    -2.4653982    -0.0206761    -0.0007624    +1
  1628   +162.800  +0.752738638  -0.130493929  +1291.925513    -2.4655809    -0.0201735    -0.0004006    +1
  1629   +162.900  +0.752738269  -0.130494339  +1291.926425    -2.4655061    -0.0204225    -0.0000003    +1
  1630   +163.000  +0.752737899  -0.130494748  +1291.925085    -2.4651979    -0.0212974    +0.0003975    +1
  1631   +163.100  +0.752737529  -0.130495158  +1291.920770    -2.4647126    -0.0223134    +0.0007608    +1
  1632   +163.200  +0.752737159  -0.130495568  +1291.913105    -2.4642722    -0.0231599    +0.0012370    +1
  1633   +163.300  +0.752736789  -0.130495977  +1291.902549    -2.4640728    -0.0239855    +0.0018854    +1
  1634   +163.400  +0.752736419  -0.130496387  +1291.890054    -2.4640902    -0.0250199    +0.0025229    +1
  1635   +163.500  +0.752736049  -0.130496796  +1291.876123    -2.4642689    -0.0259854    +0.0030746    +1
  1636   +163.600  +0.752735679  -0.130497206  +1291.860650    -2.4645761    -0.0261310    +0.0036263    +1
  1637   +163.700  +0.752735308  -0.130497616  +1291.843697    -2.4648692    -0.0252802    +0.0040395    +1
  1638   +163.800  +0.752734938  -0.130498026  +1291.826141    -2.4649653    -0.0243658    +0.0041541    +1
  1639   +163.900  +0.752734567  -0.130498436  +1291.809169    -2.4648230    -0.0244292    +0.0040830    +1
  1640   +164.000  +0.752734196  -0.130498846  +1291.792943    -2.4644577    -0.0251632    +0.0039641    +1
  1641   +164.100  +0.752733825  -0.130499256  +1291.776918    -2.4639193    -0.0254787    +0.0039505    +1
  1642   +164.200  +0.752733454  -0.130499666  +1291.761230    -2.4633782    -0.0251160    +0.0039790    +1
  1643   +164.300  +0.752733083  -0.130500076  +1291.746712    -2.4629706    -0.0245191    +0.0039236    +1
  1644   +164.400  +0.752732712  -0.130500486  +1291.734270    -2.4627341    -0.0240993    +0.0037171    +1
  1645   +164.500  +0.752732341  -0.130500896  +1291.724700    -2.4626896    -0.0238872    +0.0034786    +1
  1646   +164.600  +0.752731970  -0.130501306  +1291.718130    -2.4628782    -0.0235930    +0.0032913    +1
  1647   +164.700  +0.752731599  -0.130501717  +1291.713813    -2.4632896    -0.0223750    +0.0031677    +1
  1648   +164.800  +0.752731228  -0.130502127  +1291.711515    -2.4638180    -0.0202502    +0.0031199    +1
  1649   +164.900  +0.752730856  -0.130502537  +1291.711916    -2.4643724    -0.0184203    +0.0031606    +1
  1650   +165.000  +0.752730485  -0.130502948  +1291.715528    -2.4649185    -0.0176908    +0.0033674    +1
  1651   +165.100  +0.752730114  -0.130503358  +1291.722205    -2.4655752    -0.0177514    +0.0038803    +1
  1652   +165.200  +0.752729742  -0.130503768  +1291.731330    -2.4664716    -0.0178452    +0.0046612    +1
  1653   +165.300  +0.752729371  -0.130504178  +1291.742138    -2.4675226    -0.0176603    +0.0055129    +1
  1654   +165.400  +0.752729000  -0.130504588  +1291.754299    -2.4686333    -0.0176072    +0.0064126    +1
  1655   +165.500  +0.752728628  -0.130504998  +1291.767534    -2.4697044    -0.0181152    +0.0073570    +1
  1656   +165.600  +0.752728257  -0.130505408  +1291.780739    -2.4705134    -0.0188303    +0.0083523    +1
  1657   +165.700  +0.752727886  -0.130505818  +1291.792805    -2.4708079    -0.0193192    +0.0093698    +1
  1658   +165.800  +0.752727515  -0.130506228  +1291.803496    -2.4705950    -0.0194180    +0.0104027    +1
  1659   +165.900  +0.752727144  -0.130506638  +1291.813215    -2.4701131    -0.0190869    +0.0113770    +1
  1660   +166.000  +0.752726773  -0.130507048  +1291.822699    -2.4694914    -0.0186416    +0.0120924    +1
  1661   +166.100  +0.752726402  -0.130507459  +1291.832328    -2.4688126    -0.0183522    +0.0126248    +1
  1662   +166.200  +0.752726031  -0.130507869  +1291.842126    -2.4682114    -0.0179610    +0.0129511    +1
  1663   +166.300  +0.752725660  -0.130508279  +1291.852604    -2.4677320    -0.0174115    +0.0130125    +1
  1664   +166.400  +0.752725290  -0.130508690  +1291.864361    -2.4674187    -0.0168915    +0.0129013    +1
  1665   +166.500  +0.752724919  -0.130509100  +1291.877537    -2.4673235    -0.0166462    +0.0127702    +1
  1666   +166.600  +0.752724549  -0.130509511  +1291.892100    -2.4673812    -0.0166188    +0.0126133    +1
  1667   +166.700  +0.752724178  -0.130509922  +1291.908145    -2.4675183    -0.0168280    +0.0124483    +1
  1668   +166.800  +0.752723808  -0.130510333  +1291.925564    -2.4676949    -0.0173023    +0.0123455    +1
  1669   +166.900  +0.752723438  -0.130510744  +1291.943638    -2.4678937    -0.0174761    +0.0123469    +1
  1670   +167.000  +0.752723068  -0.130511155  +1291.961828    -2.4680452    -0.0171406    +0.0124464    +1
  1671   +167.100  +0.752722698  -0.130511566  +1291.980508    -2.4680490    -0.0170803    +0.0125774    +1
  1672   +167.200  +0.752722328  -0.130511977  +1291.999509    -2.4678440    -0.0173742    +0.0127297    +1
  1673   +167.300  +0.752721958  -0.130512388  +1292.017920    -2.4673143    -0.0173946    +0.0126448    +1
  1674   +167.400  +0.752721588  -0.130512800  +1292.035720    -2.4664833    -0.0172335    +0.0122616    +1
  1675   +167.500  +0.752721218  -0.130513211  +1292.053545    -2.4655347    -0.0175788    +0.0116627    +1
  1676   +167.600  +0.752720848  -0.130513623  +1292.071186    -2.4645835    -0.0182404    +0.0109144    +1
  1677   +167.700  +0.752720479  -0.130514035  +1292.088189    -2.4637342    -0.0188081    +0.0100083    +1
  1678   +167.800  +0.752720109  -0.130514447  +1292.104466    -2.4632400    -0.0190875    +0.0090821    +1
  1679   +167.900  +0.752719739  -0.130514860  +1292.120035    -2.4632724    -0.0192358    +0.0083257    +1
  1680   +168.000  +0.752719369  -0.130515272  +1292.135227    -2.4637712    -0.0195897    +0.0077646    +1
  1681   +168.100  +0.752718999  -0.130515685  +1292.150241    -2.4645786    -0.0203637    +0.0073771    +1
  1682   +168.200  +0.752718629  -0.130516097  +1292.164724    -2.4654406    -0.0214820    +0.0069965    +1
  1683   +168.300  +0.752718259  -0.130516510  +1292.178140    -2.4661534    -0.0225253    +0.0065841    +1
  1684   +168.400  +0.752717889  -0.130516923  +1292.190336    -2.4665698    -0.0231679    +0.0061724    +1
  1685   +168.500  +0.752717519  -0.130517336  +1292.201356    -2.4664966    -0.0232571    +0.0056867    +1
  1686   +168.600  +0.752717149  -0.130517749  +1292.211363    -2.4659146    -0.0230195    +0.0051989    +1
  1687   +168.700  +0.752716778  -0.130518162  +1292.220783    -2.4649881    -0.0228827    +0.0047929    +1
  1688   +168.800  +0.752716408  -0.130518576  +1292.229888    -2.4639797    -0.0231953    +0.0043806    +1
  1689   +168.900  +0.752716038  -0.130518989  +1292.238081    -2.4631104    -0.0233054    +0.0038024    +1
  1690   +169.000  +0.752715667  -0.130519402  +1292.245046    -2.4624768    -0.0229216    +0.0030803    +1
  1691   +169.100  +0.752715297  -0.130519815  +1292.251468    -2.4622173    -0.0226754    +0.0024483    +1
  1692   +169.200  +0.752714926  -0.130520228  +1292.257525    -2.4623491    -0.0226666    +0.0020772    +1
  1693   +169.300  +0.752714556  -0.130520642  +1292.262940    -2.4627620    -0.0227540    +0.0019456    +1
  1694   +169.400  +0.752714185  -0.130521055  +1292.267598    -2.4634592    -0.0228185    +0.0020696    +1
  1695   +169.500  +0.752713814  -0.130521468  +1292.271507    -2.4644395    -0.0230102    +0.0024045    +1
  1696   +169.600  +0.752713444  -0.130521882  +1292.274917    -2.4656307    -0.0236442    +0.0029315    +1
  1697   +169.700  +0.752713073  -0.130522295  +1292.278114    -2.4669377    -0.0245497    +0.0036661    +1
  1698   +169.800  +0.752712702  -0.130522708  +1292.281217    -2.4681542    -0.0253219    +0.0045293    +1
  1699   +169.900  +0.752712331  -0.130523122  +1292.284222    -2.4690008    -0.0253840    +0.0054479    +1
  1700   +170.000  +0.752711960  -0.130523535  +1292.287120    -2.4693951    -0.0248720    +0.0064126    +1
  1701   +170.100  +0.752711589  -0.130523948  +1292.290108    -2.4694365    -0.0247561    +0.0074020    +1
  1702   +170.200  +0.752711218  -0.130524362  +1292.293494    -2.4692176    -0.0252316    +0.0083586    +1
  1703   +170.300  +0.752710847  -0.130524775  +1292.297552    -2.4687695    -0.0258924    +0.0091947    +1
  1704   +170.400  +0.752710476  -0.130525189  +1292.302352    -2.4680664    -0.0262857    +0.0098320    +1
  1705   +170.500  +0.752710104  -0.130525603  +1292.307793    -2.4671560    -0.0262585    +0.0102285    +1
  1706   +170.600  +0.752709733  -0.130526016  +1292.313930    -2.4661670    -0.0259253    +0.0103897    +1
  1707   +170.700  +0.752709362  -0.130526430  +1292.320951    -2.4652360    -0.0256608    +0.0102531    +1
  1708   +170.800  +0.752708991  -0.130526844  +1292.329004    -2.4645232    -0.0257166    +0.0099212    +1
  1709   +170.900  +0.752708620  -0.130527259  +1292.337969    -2.4640482    -0.0257790    +0.0094519    +1
  1710   +171.000  +0.752708249  -0.130527673  +1292.347786    -2.4637732    -0.0257000    +0.0089386    +1
  1711   +171.100  +0.752707878  -0.130528087  +1292.358598    -2.4636355    -0.0255864    +0.0084549    +1
  1712   +171.200  +0.752707507  -0.130528502  +1292.370572    -2.4635696    -0.0254560    +0.0080904    +1
  1713   +171.300  +0.752707136  -0.130528916  +1292.383889    -2.4634835    -0.0252827    +0.0078398    +1
  1714   +171.400  +0.752706765  -0.130529331  +1292.398423    -2.4632140    -0.0250651    +0.0076478    +1
  1715   +171.500  +0.752706394  -0.130529745  +1292.414044    -2.4627597    -0.0250930    +0.0074228    +1
  1716   +171.600  +0.752706023  -0.130530160  +1292.430606    -2.4622205    -0.0251960    +0.0069765    +1
  1717   +171.700  +0.752705652  -0.130530574  +1292.447877    -2.4615959    -0.0251384    +0.0062786    +1
  1718   +171.800  +0.752705281  -0.130530989  +1292.465967    -2.4608748    -0.0252784    +0.0053794    +1
  1719   +171.900  +0.752704910  -0.130531404  +1292.484756    -2.4600546    -0.0254822    +0.0043393    +1
  1720   +172.000  +0.752704539  -0.130531818  +1292.503925    -2.4591524    -0.0254406    +0.0032223    +1
  1721   +172.100  +0.752704168  -0.130532233  +1292.523332    -2.4583077    -0.0254439    +0.0020519    +1
  1722   +172.200  +0.752703797  -0.130532647  +1292.542741    -2.4577253    -0.0258119    +0.0009117    +1
  1723   +172.300  +0.752703426  -0.130533062  +1292.561738    -2.4575573    -0.0264934    -0.0002049    +1
  1724   +172.400  +0.752703055  -0.130533476  +1292.580106    -2.4578191    -0.0272041    -0.0011532    +1
  1725   +172.500  +0.752702684  -0.130533890  +1292.597690    -2.4584541    -0.0279363    -0.0016803    +1
  1726   +172.600  +0.752702313  -0.130534305  +1292.614131    -2.4594115    -0.0285725    -0.0018424    +1
  1727   +172.700  +0.752701942  -0.130534719  +1292.629341    -2.4604847    -0.0285205    -0.0018890    +1
  1728   +172.800  +0.752701571  -0.130535133  +1292.643914    -2.4613896    -0.0276826    -0.0020112    +1
  1729   +172.900  +0.752701200  -0.130535547  +1292.659051    -2.4619916    -0.0266802    -0.0021615    +1
  1730   +173.000  +0.752700829  -0.130535960  +1292.675341    -2.4622906    -0.0255976    -0.0021279    +1
  1731   +173.100  +0.752700458  -0.130536374  +1292.693104    -2.4624015    -0.0244662    -0.0017051    +1
  1732   +173.200  +0.752700086  -0.130536787  +1292.712977    -2.4624421    -0.0238320    -0.0009919    +1
  1733   +173.300  +0.752699715  -0.130537200  +1292.734985    -2.4624936    -0.0236029    -0.0002267    +1
  1734   +173.400  +0.752699344  -0.130537613  +1292.758610    -2.4626405    -0.0232569    +0.0004584    +1
  1735   +173.500  +0.752698972  -0.130538026  +1292.783665    -2.4629301    -0.0228536    +0.0010807    +1
  1736   +173.600  +0.752698601  -0.130538439  +1292.810185    -2.4633376    -0.0229311    +0.0015676    +1
  1737   +173.700  +0.752698230  -0.130538852  +1292.837953    -2.4637340    -0.0236443    +0.0018888    +1
  1738   +173.800  +0.752697858  -0.130539264  +1292.866310    -2.4640018    -0.0242863    +0.0021603    +1
  1739   +173.900  +0.752697487  -0.130539677  +1292.894460    -2.4641316    -0.0240389    +0.0024376    +1
  1740   +174.000  +0.752697116  -0.130540089  +1292.922636    -2.4640256    -0.0231711    +0.0025759    +1
  1741   +174.100  +0.752696745  -0.130540501  +1292.951723    -2.4635539    -0.0223559    +0.0024595    +1
  1742   +174.200  +0.752696373  -0.130540913  +1292.982389    -2.4627872    -0.0221162    +0.0023005    +1
